state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Arizona,American Charter Schools Foundation D.B.A. West Phoenix High,N/A,N/A,N/A,1.4,13%,87%,2.5,50%,50%
Arizona,American Heritage Academy,N/A,N/A,N/A,2.6,67%,33%,2.9,88%,12%
Arizona,American Leadership Academy Inc.,N/A,N/A,N/A,2.7,73%,27%,2.9,87%,13%
Arizona,Amphitheater Unified District,26.4,33%,24.10%,2.7,66%,34%,3,87%,13%
Arizona,Antelope Union High School District,N/A,N/A,N/A,2.1,48%,52%,2.7,73%,27%
Arizona,Apache Junction Unified District,6.6,9%,5.70%,2.4,59%,41%,2.9,83%,17%
Arizona,Arizona Agribusiness & Equine Center Inc,N/A,N/A,N/A,3.1,86%,14%,3.1,96%,4%
Arizona,Arizona Call-A-Teen Youth Resources Inc.,N/A,N/A,N/A,1.9,30%,70%,2.7,71%,29%
Arizona,Arizona Connections Academy Charter School Inc.,N/A,N/A,N/A,2.2,44%,56%,2.9,86%,14%
Arizona,Arizona Department Of Corrections,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Arizona School For Integrated Academics And Technologies In,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Arizona School For The Arts,N/A,N/A,N/A,3.5,97%,3%,3.3,100%,0%
Arizona,Arizona State School For The Deaf And Blind,N/A,N/A,N/A,1.3,4%,96%,2,17%,83%
Arizona,Ash Fork Joint Unified District,N/A,N/A,N/A,2.6,67%,33%,2.8,81%,19%
Arizona,Avondale Learning Dba Precision Academy,N/A,N/A,N/A,2.5,60%,40%,2.9,84%,16%
Arizona,Az Dept Of Juvenile Corrections,N/A,N/A,N/A,1.5,18%,82%,2.2,37%,63%
Arizona,Az-Tec High School,N/A,N/A,N/A,1.1,6%,94%,2.4,42%,58%
Arizona,Bagdad Unified District,N/A,N/A,N/A,2.3,55%,45%,2.7,74%,26%
Arizona,BASIS Schools Inc.,100,100%,100.00%,4,100%,0%,3.6,100%,0%
Arizona,Benson Unified School District,N/A,N/A,N/A,2.9,81%,19%,3.1,97%,3%
